type,maximum,minimum,med,expected,variance
Read,32.377511,4.899227,12.7129295,12.29435159255,1.70114351749631
Write,30.280596,9.612954,16.691543,16.23740224625,1.69056596553214
Sync,61.941815,10.482129,37.15661,36.5503011878,104.201580721386
