type,maximum,minimum,med,expected,variance
Read,13.464073,1.838153,2.293413,2.641347614,0.74556994427456
Write,13.00347,2.639652,3.328147,3.641129504,0.915271498572921
Sync,57.7065,11.549025,23.7888145,23.9696998138,0.955167811303075
