type,maximum,minimum,med,expected,variance
Read,26.97906,1.695537,11.263094,11.352018719,6.58281881460036
Write,23.522753,6.829151,10.7565705,11.1530024685,2.39934367849021
Sync,59.901892,11.494828,33.8760955,31.1899556258,34.2609119377032
