Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
3, 5, Read, 0, 130, 0.010951183
4, 5, Read, 0, 131, 0.010883507
2, 5, Read, 0, 131, 0.010879596
1, 5, Read, 0, 130, 0.012594548
3, 5, Read, 0, 131, 0.013084136
4, 5, Read, 0, 132, 0.012798205
2, 5, Read, 0, 132, 0.012804561
1, 5, Read, 0, 131, 0.011252338
3, 5, Read, 0, 132, 0.010779304
4, 5, Read, 0, 133, 0.010989596
2, 5, Read, 0, 133, 0.010964592
0, 5, sync_write_read, 0, 44, 0.037534102
1, 5, Read, 0, 132, 0.012717259
3, 5, Read, 0, 133, 0.012873634
4, 5, Read, 0, 134, 0.012656218
2, 5, Read, 0, 134, 0.012643507
1, 5, Read, 0, 133, 0.010577811
3, 5, Read, 0, 134, 0.010169868
4, 5, Read, 0, 135, 0.010779583
2, 5, Read, 0, 135, 0.010374294
1, 5, Read, 0, 134, 0.012810638
3, 5, Read, 0, 135, 0.013118847
4, 5, Read, 0, 136, 0.01268632
2, 5, Read, 0, 136, 0.013049843
0, 5, sync_write_read, 0, 45, 0.033364997
1, 5, Read, 0, 135, 0.010656174
3, 5, Read, 0, 136, 0.010294256
4, 5, Read, 0, 137, 0.010507621
2, 5, Read, 0, 137, 0.01044672
1, 5, Read, 0, 136, 0.012530923
3, 5, Read, 0, 137, 0.012586377
4, 5, Read, 0, 138, 0.012885228
2, 5, Read, 0, 138, 0.012989431
1, 5, Read, 0, 137, 0.011516409
3, 5, Read, 0, 138, 0.011455787
4, 5, Read, 0, 139, 0.011214833
2, 5, Read, 0, 139, 0.01106216
0, 5, sync_write_read, 0, 46, 0.034769435
1, 5, Read, 0, 138, 0.012845628
3, 5, Read, 0, 139, 0.013079037
4, 5, Read, 0, 140, 0.012870421
2, 5, Read, 0, 140, 0.013047609
1, 5, Read, 0, 139, 0.010623208
3, 5, Read, 0, 140, 0.010342586
4, 5, Read, 0, 141, 0.010418643
2, 5, Read, 0, 141, 0.010361932
1, 5, Read, 0, 140, 0.012396758
3, 5, Read, 0, 141, 0.012397596
4, 5, Read, 0, 142, 0.012583095
2, 5, Read, 0, 142, 0.012426581
0, 5, sync_write_read, 0, 47, 0.035887385
1, 5, Read, 0, 141, 0.009861101
3, 5, Read, 0, 142, 0.010949157
4, 5, Read, 0, 143, 0.010225811
2, 5, Read, 0, 143, 0.010895101
1, 5, Read, 0, 142, 0.013503742
3, 5, Read, 0, 143, 0.012443761
4, 5, Read, 0, 144, 0.012943895
2, 5, Read, 0, 144, 0.012478123
1, 5, Read, 0, 143, 0.009970192
3, 5, Read, 0, 144, 0.010720218
4, 5, Read, 0, 145, 0.010386167
2, 5, Read, 0, 145, 0.010665812
0, 5, sync_write_read, 0, 48, 0.033917372
1, 5, Read, 0, 144, 0.010610218
3, 5, Read, 0, 145, 0.012716282
4, 5, Read, 0, 146, 0.012589869
2, 5, Read, 0, 146, 0.012821533
1, 5, Read, 0, 145, 0.012659501
3, 5, Read, 0, 146, 0.009569024
4, 5, Read, 0, 147, 0.01061392
2, 5, Read, 0, 147, 0.010774206
1, 5, Read, 0, 146, 0.010901037
3, 5, Read, 0, 147, 0.013527069
4, 5, Read, 0, 148, 0.012607679
2, 5, Read, 0, 148, 0.012121025
0, 5, sync_write_read, 0, 49, 0.035846039
1, 5, Read, 0, 147, 0.012133316
3, 5, Read, 0, 148, 0.00976926
4, 5, Read, 0, 149, 0.010550503
2, 5, Read, 0, 149, 0.010185932
1, 5, Read, 0, 148, 0.01047738
3, 5, Read, 0, 149, 0.010607773
