Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
2, 5, Read, 0, 30, 0.013197838
1, 5, Read, 0, 29, 0.012626187
3, 5, Read, 0, 30, 0.012848561
4, 5, Read, 0, 31, 0.010707577
2, 5, Read, 0, 31, 0.010458662
0, 5, sync_write_read, 0, 10, 0.03484668
1, 5, Read, 0, 30, 0.010676288
3, 5, Read, 0, 31, 0.010913748
4, 5, Read, 0, 32, 0.013135748
2, 5, Read, 0, 32, 0.013293171
1, 5, Read, 0, 31, 0.013086929
3, 5, Read, 0, 32, 0.012880898
4, 5, Read, 0, 33, 0.010586472
2, 5, Read, 0, 33, 0.01029691
1, 5, Read, 0, 32, 0.01033183
3, 5, Read, 0, 33, 0.010436244
4, 5, Read, 0, 34, 0.012138485
2, 5, Read, 0, 34, 0.012247019
0, 5, sync_write_read, 0, 11, 0.035993614
1, 5, Read, 0, 33, 0.012387888
3, 5, Read, 0, 34, 0.012433285
4, 5, Read, 0, 35, 0.010014612
2, 5, Read, 0, 35, 0.010999444
1, 5, Read, 0, 34, 0.010916821
3, 5, Read, 0, 35, 0.010976745
4, 5, Read, 0, 36, 0.013700275
2, 5, Read, 0, 36, 0.012719215
1, 5, Read, 0, 35, 0.012614314
3, 5, Read, 0, 36, 0.012636174
4, 5, Read, 0, 37, 0.010311298
2, 5, Read, 0, 37, 0.011289564
0, 5, sync_write_read, 0, 12, 0.035002146
1, 5, Read, 0, 36, 0.011453132
3, 5, Read, 0, 37, 0.011515571
4, 5, Read, 0, 38, 0.013533914
2, 5, Read, 0, 38, 0.012577018
1, 5, Read, 0, 37, 0.012428675
3, 5, Read, 0, 38, 0.012247716
4, 5, Read, 0, 39, 0.009862776
2, 5, Read, 0, 39, 0.010696053
1, 5, Read, 0, 38, 0.010794599
3, 5, Read, 0, 39, 0.010771551
4, 5, Read, 0, 40, 0.013447311
2, 5, Read, 0, 40, 0.012684295
0, 5, sync_write_read, 0, 13, 0.036148451
1, 5, Read, 0, 39, 0.012615221
3, 5, Read, 0, 40, 0.0125502
4, 5, Read, 0, 41, 0.009783157
2, 5, Read, 0, 41, 0.010585774
1, 5, Read, 0, 40, 0.010521729
3, 5, Read, 0, 41, 0.01034077
4, 5, Read, 0, 42, 0.010553507
2, 5, Read, 0, 42, 0.012583094
1, 5, Read, 0, 41, 0.012628282
3, 5, Read, 0, 42, 0.01287545
4, 5, Read, 0, 43, 0.012843253
2, 5, Read, 0, 43, 0.010856478
0, 5, sync_write_read, 0, 14, 0.03379934
1, 5, Read, 0, 42, 0.011000281
3, 5, Read, 0, 43, 0.010982751
4, 5, Read, 0, 44, 0.011128161
2, 5, Read, 0, 44, 0.013181774
1, 5, Read, 0, 43, 0.013102085
3, 5, Read, 0, 44, 0.013108929
4, 5, Read, 0, 45, 0.01282726
2, 5, Read, 0, 45, 0.010702967
1, 5, Read, 0, 44, 0.0113087
3, 5, Read, 0, 45, 0.010939031
4, 5, Read, 0, 46, 0.01108011
2, 5, Read, 0, 46, 0.013338498
0, 5, sync_write_read, 0, 15, 0.037685728
1, 5, Read, 0, 45, 0.012730669
3, 5, Read, 0, 46, 0.013079876
4, 5, Read, 0, 47, 0.013043209
2, 5, Read, 0, 47, 0.010940846
1, 5, Read, 0, 46, 0.01110218
3, 5, Read, 0, 47, 0.010749551
4, 5, Read, 0, 48, 0.013669057
2, 5, Read, 0, 48, 0.012838714
1, 5, Read, 0, 47, 0.012824745
3, 5, Read, 0, 48, 0.013167038
4, 5, Read, 0, 49, 0.010072091
2, 5, Read, 0, 49, 0.010806752
0, 5, sync_write_read, 0, 16, 0.034449074
1, 5, Read, 0, 48, 0.011050498
3, 5, Read, 0, 49, 0.011017672
4, 5, Read, 0, 50, 0.013800707
2, 5, Read, 0, 50, 0.013073589
1, 5, Read, 0, 49, 0.012692815
3, 5, Read, 0, 50, 0.012659361
4, 5, Read, 0, 51, 0.009974592
2, 5, Read, 0, 51, 0.010862484
1, 5, Read, 0, 50, 0.011049938
3, 5, Read, 0, 51, 0.010689907
4, 5, Read, 0, 52, 0.010825259
2, 5, Read, 0, 52, 0.012891094
0, 5, sync_write_read, 0, 17, 0.037394001
1, 5, Read, 0, 51, 0.012818669
3, 5, Read, 0, 52, 0.01361926
4, 5, Read, 0, 53, 0.013489634
2, 5, Read, 0, 53, 0.011567532
1, 5, Read, 0, 52, 0.01188559
3, 5, Read, 0, 53, 0.011542389
4, 5, Read, 0, 54, 0.014246225
2, 5, Read, 0, 54, 0.013321038
1, 5, Read, 0, 53, 0.013270612
3, 5, Read, 0, 54, 0.012990828
4, 5, Read, 0, 55, 0.010971157
2, 5, Read, 0, 55, 0.01106265
0, 5, sync_write_read, 0, 18, 0.036031468
1, 5, Read, 0, 54, 0.010698218
3, 5, Read, 0, 55, 0.010765824
4, 5, Read, 0, 56, 0.012404859
2, 5, Read, 0, 56, 0.01230806
1, 5, Read, 0, 55, 0.012100143
3, 5, Read, 0, 56, 0.01213185
4, 5, Read, 0, 57, 0.009923748
2, 5, Read, 0, 57, 0.010822326
1, 5, Read, 0, 56, 0.010840973
3, 5, Read, 0, 57, 0.010976256
4, 5, Read, 0, 58, 0.013532796
2, 5, Read, 0, 58, 0.012675006
0, 5, sync_write_read, 0, 19, 0.035945982
1, 5, Read, 0, 57, 0.01285317
3, 5, Read, 0, 58, 0.012768453
4, 5, Read, 0, 59, 0.010085081
2, 5, Read, 0, 59, 0.011101971
1, 5, Read, 0, 58, 0.010801443
3, 5, Read, 0, 59, 0.010799837
4, 5, Read, 0, 60, 0.013541526
2, 5, Read, 0, 60, 0.012577088
1, 5, Read, 0, 59, 0.012472326
3, 5, Read, 0, 60, 0.012561583
4, 5, Read, 0, 61, 0.009848668
2, 5, Read, 0, 61, 0.010572085
0, 5, sync_write_read, 0, 20, 0.033958927
1, 5, Read, 0, 60, 0.010645208
3, 5, Read, 0, 61, 0.010409633
4, 5, Read, 0, 62, 0.010602605
2, 5, Read, 0, 62, 0.013120593
1, 5, Read, 0, 61, 0.013051171
3, 5, Read, 0, 62, 0.013306021
4, 5, Read, 0, 63, 0.013162567
2, 5, Read, 0, 63, 0.010661621
1, 5, Read, 0, 62, 0.010700732
3, 5, Read, 0, 63, 0.010438688
4, 5, Read, 0, 64, 0.010555183
2, 5, Read, 0, 64, 0.012677171
0, 5, sync_write_read, 0, 21, 0.036863836
1, 5, Read, 0, 63, 0.012842694
3, 5, Read, 0, 64, 0.012973578
4, 5, Read, 0, 65, 0.012820275
2, 5, Read, 0, 65, 0.010699964
1, 5, Read, 0, 64, 0.010328129
3, 5, Read, 0, 65, 0.010331551
4, 5, Read, 0, 66, 0.010452167
2, 5, Read, 0, 66, 0.012413799
1, 5, Read, 0, 65, 0.012723475
3, 5, Read, 0, 66, 0.012521354
4, 5, Read, 0, 67, 0.012520796
2, 5, Read, 0, 67, 0.009986745
0, 5, sync_write_read, 0, 22, 0.03381254
1, 5, Read, 0, 66, 0.010606027
3, 5, Read, 0, 67, 0.010898663
4, 5, Read, 0, 68, 0.010969761
2, 5, Read, 0, 68, 0.013667101
1, 5, Read, 0, 67, 0.012912606
3, 5, Read, 0, 68, 0.01272578
4, 5, Read, 0, 69, 0.01273493
2, 5, Read, 0, 69, 0.009954827
1, 5, Read, 0, 68, 0.010291881
3, 5, Read, 0, 69, 0.010928625
4, 5, Read, 0, 70, 0.010912841
2, 5, Read, 0, 70, 0.013551304
0, 5, sync_write_read, 0, 23, 0.036862509
1, 5, Read, 0, 69, 0.01377319
3, 5, Read, 0, 70, 0.013031476
4, 5, Read, 0, 71, 0.013020441
2, 5, Read, 0, 71, 0.010321843
1, 5, Read, 0, 70, 0.010162814
3, 5, Read, 0, 71, 0.010861996
4, 5, Read, 0, 72, 0.010933793
2, 5, Read, 0, 72, 0.013756917
1, 5, Read, 0, 71, 0.013483278
3, 5, Read, 0, 72, 0.012738212
4, 5, Read, 0, 73, 0.012787799
2, 5, Read, 0, 73, 0.009988491
0, 5, sync_write_read, 0, 24, 0.034716566
1, 5, Read, 0, 72, 0.010220923
3, 5, Read, 0, 73, 0.010909348
4, 5, Read, 0, 74, 0.010826795
2, 5, Read, 0, 74, 0.013504092
1, 5, Read, 0, 73, 0.013128346
3, 5, Read, 0, 74, 0.012618993
4, 5, Read, 0, 75, 0.012640225
2, 5, Read, 0, 75, 0.009957062
1, 5, Read, 0, 74, 0.010146542
3, 5, Read, 0, 75, 0.010529971
4, 5, Read, 0, 76, 0.010386447
2, 5, Read, 0, 76, 0.010559583
0, 5, sync_write_read, 0, 25, 0.036058845
1, 5, Read, 0, 75, 0.013049913
3, 5, Read, 0, 76, 0.012746802
4, 5, Read, 0, 77, 0.012880688
2, 5, Read, 0, 77, 0.012725292
1, 5, Read, 0, 76, 0.010225672
3, 5, Read, 0, 77, 0.010299633
4, 5, Read, 0, 78, 0.010313044
2, 5, Read, 0, 78, 0.010486389
1, 5, Read, 0, 77, 0.012510389
3, 5, Read, 0, 78, 0.012693863
4, 5, Read, 0, 79, 0.013375025
