type,maximum,minimum,med,expected,variance
Read,75.38738,10.154713,13.0532315,12.60342277555,2.35142937463724
Write,79.346054,3.213677,16.782546,16.3645166894999,2.32770051728731
Sync,94.855987,11.641704,25.4590685,32.8604564708,112.854380829783
