thread nr: 0
thread nr: 3
Starting tests
thread nr: 2
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 1
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 4
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, true, 34, 0.01044197
2, 5, Read, true, 34, 0.011306954
1, 5, Read, true, 34, 0.01114604
3, 5, Read, true, 33, 0.011048961
4, 5, Read, true, 35, 0.014986542
2, 5, Read, true, 35, 0.014436054
1, 5, Read, true, 35, 0.014369914
3, 5, Read, true, 34, 0.014312993
4, 5, Read, true, 36, 0.011522974
2, 5, Read, true, 36, 0.011459977
0, 5, sync_write_read, true, 11, 0.036978096
1, 5, Read, true, 36, 0.011668663
3, 5, Read, true, 35, 0.014618968
4, 5, Read, true, 37, 0.01391427
2, 5, Read, true, 37, 0.01378639
1, 5, Read, true, 37, 0.013457577
3, 5, Read, true, 36, 0.011261418
4, 5, Read, true, 38, 0.011061533
2, 5, Read, true, 38, 0.011503837
1, 5, Read, true, 38, 0.014240848
3, 5, Read, true, 37, 0.013602428
4, 5, Read, true, 39, 0.014004924
2, 5, Read, true, 39, 0.013290447
0, 5, sync_write_read, true, 12, 0.039038135
1, 5, Read, true, 39, 0.011537291
3, 5, Read, true, 38, 0.011517666
4, 5, Read, true, 40, 0.011412764
2, 5, Read, true, 40, 0.011503069
1, 5, Read, true, 40, 0.013529723
3, 5, Read, true, 39, 0.013821799
4, 5, Read, true, 41, 0.013495222
2, 5, Read, true, 41, 0.013701463
1, 5, Read, true, 41, 0.01118557
3, 5, Read, true, 40, 0.010796136
4, 5, Read, true, 42, 0.011240326
2, 5, Read, true, 42, 0.011232574
0, 5, sync_write_read, true, 13, 0.038913747
1, 5, Read, true, 42, 0.013286955
3, 5, Read, true, 41, 0.014885761
4, 5, Read, true, 43, 0.014427254
2, 5, Read, true, 43, 0.014195171
1, 5, Read, true, 43, 0.012135342
3, 5, Read, true, 42, 0.011054129
4, 5, Read, true, 44, 0.010803818
2, 5, Read, true, 44, 0.010931488
1, 5, Read, true, 44, 0.01353552
3, 5, Read, true, 43, 0.013118568
4, 5, Read, true, 45, 0.013353374
2, 5, Read, true, 45, 0.013296803
0, 5, sync_write_read, true, 14, 0.036819487
1, 5, Read, true, 45, 0.011284396
3, 5, Read, true, 44, 0.011523253
4, 5, Read, true, 46, 0.011752542
2, 5, Read, true, 46, 0.014152638
1, 5, Read, true, 46, 0.013644053
3, 5, Read, true, 45, 0.01347392
4, 5, Read, true, 47, 0.013078619
2, 5, Read, true, 47, 0.011290542
1, 5, Read, true, 47, 0.010903133
3, 5, Read, true, 46, 0.010828682
4, 5, Read, true, 48, 0.010984078
2, 5, Read, true, 48, 0.013204891
0, 5, sync_write_read, true, 15, 0.038057982
1, 5, Read, true, 48, 0.013311051
3, 5, Read, true, 47, 0.013415952
4, 5, Read, true, 49, 0.013246936
2, 5, Read, true, 49, 0.011101062
1, 5, Read, true, 49, 0.011057831
3, 5, Read, true, 48, 0.010887768
4, 5, Read, true, 50, 0.01405046
2, 5, Read, true, 50, 0.01327152
1, 5, Read, true, 50, 0.013372161
3, 5, Read, true, 49, 0.014155571
4, 5, Read, true, 51, 0.010914586
2, 5, Read, true, 51, 0.011861425
0, 5, sync_write_read, true, 16, 0.03659809
1, 5, Read, true, 51, 0.011822592
3, 5, Read, true, 50, 0.011206733
4, 5, Read, true, 52, 0.013985159
2, 5, Read, true, 52, 0.013625615
1, 5, Read, true, 52, 0.013582244
3, 5, Read, true, 51, 0.013471546
4, 5, Read, true, 53, 0.011612231
2, 5, Read, true, 53, 0.011123202
1, 5, Read, true, 53, 0.011603361
3, 5, Read, true, 52, 0.014425927
4, 5, Read, true, 54, 0.013652784
2, 5, Read, true, 54, 0.014440314
0, 5, sync_write_read, true, 17, 0.039156237
1, 5, Read, true, 54, 0.013899463
3, 5, Read, true, 53, 0.01178404
4, 5, Read, true, 55, 0.011870224
2, 5, Read, true, 55, 0.011540853
1, 5, Read, true, 55, 0.014252092
3, 5, Read, true, 54, 0.013427196
4, 5, Read, true, 56, 0.01335505
2, 5, Read, true, 56, 0.013343946
1, 5, Read, true, 56, 0.010276726
3, 5, Read, true, 55, 0.010814644
4, 5, Read, true, 57, 0.010471653
2, 5, Read, true, 57, 0.011030103
0, 5, sync_write_read, true, 18, 0.035909734
1, 5, Read, true, 57, 0.013749444
3, 5, Read, true, 56, 0.013079108
4, 5, Read, true, 58, 0.013419724
2, 5, Read, true, 58, 0.012843462
1, 5, Read, true, 58, 0.010180415
3, 5, Read, true, 57, 0.011437837
4, 5, Read, true, 59, 0.011243818
2, 5, Read, true, 59, 0.011408155
1, 5, Read, true, 59, 0.014094739
3, 5, Read, true, 58, 0.01250145
4, 5, Read, true, 60, 0.013441584
2, 5, Read, true, 60, 0.013488866
0, 5, sync_write_read, true, 19, 0.037814865
1, 5, Read, true, 60, 0.011231526
3, 5, Read, true, 59, 0.011205825
4, 5, Read, true, 61, 0.010809755
2, 5, Read, true, 61, 0.010733068
1, 5, Read, true, 61, 0.012919869
3, 5, Read, true, 60, 0.012953742
4, 5, Read, true, 62, 0.013345342
2, 5, Read, true, 62, 0.013293241
1, 5, Read, true, 62, 0.01117677
3, 5, Read, true, 61, 0.011494409
4, 5, Read, true, 63, 0.011319456
2, 5, Read, true, 63, 0.011100225
0, 5, sync_write_read, true, 20, 0.03533536
1, 5, Read, true, 63, 0.01351359
3, 5, Read, true, 62, 0.013483767
4, 5, Read, true, 64, 0.013001793
2, 5, Read, true, 64, 0.013443609
1, 5, Read, true, 64, 0.010949018
3, 5, Read, true, 63, 0.010698497
4, 5, Read, true, 65, 0.011226148
2, 5, Read, true, 65, 0.011073126
1, 5, Read, true, 65, 0.013150346
3, 5, Read, true, 64, 0.013419863
4, 5, Read, true, 66, 0.01285778
2, 5, Read, true, 66, 0.012773552
0, 5, sync_write_read, true, 21, 0.037195652
1, 5, Read, true, 66, 0.010989387
3, 5, Read, true, 65, 0.010525989
4, 5, Read, true, 67, 0.011476599
2, 5, Read, true, 67, 0.011486586
1, 5, Read, true, 67, 0.013344155
3, 5, Read, true, 66, 0.01400618
4, 5, Read, true, 68, 0.01296345
2, 5, Read, true, 68, 0.012990269
1, 5, Read, true, 68, 0.011265748
3, 5, Read, true, 67, 0.011116218
4, 5, Read, true, 69, 0.011171392
2, 5, Read, true, 69, 0.011199469
0, 5, sync_write_read, true, 22, 0.038282801
1, 5, Read, true, 69, 0.01266886
3, 5, Read, true, 68, 0.013030847
4, 5, Read, true, 70, 0.012773133
2, 5, Read, true, 70, 0.013180797
1, 5, Read, true, 70, 0.011565716
3, 5, Read, true, 69, 0.011351932
4, 5, Read, true, 71, 0.011592326
2, 5, Read, true, 71, 0.011241443
1, 5, Read, true, 71, 0.01356625
3, 5, Read, true, 70, 0.013311818
4, 5, Read, true, 72, 0.013493197
2, 5, Read, true, 72, 0.013257133
0, 5, sync_write_read, true, 23, 0.036017569
1, 5, Read, true, 72, 0.010676358
3, 5, Read, true, 71, 0.011214974
4, 5, Read, true, 73, 0.011208688
2, 5, Read, true, 73, 0.01384799
1, 5, Read, true, 73, 0.013540269
3, 5, Read, true, 72, 0.01286211
4, 5, Read, true, 74, 0.012823907
2, 5, Read, true, 74, 0.010194732
1, 5, Read, true, 74, 0.010505176
3, 5, Read, true, 73, 0.011149323
4, 5, Read, true, 75, 0.011627945
2, 5, Read, true, 75, 0.014183577
0, 5, sync_write_read, true, 24, 0.037585157
1, 5, Read, true, 75, 0.013973075
3, 5, Read, true, 74, 0.013597539
4, 5, Read, true, 76, 0.01283599
2, 5, Read, true, 76, 0.010195361
1, 5, Read, true, 76, 0.011033177
3, 5, Read, true, 75, 0.010768897
4, 5, Read, true, 77, 0.011233063
2, 5, Read, true, 77, 0.01378185
1, 5, Read, true, 77, 0.012895215
3, 5, Read, true, 76, 0.012777253
4, 5, Read, true, 78, 0.012637431
2, 5, Read, true, 78, 0.01012971
0, 5, sync_write_read, true, 25, 0.035203359
1, 5, Read, true, 78, 0.011141291
3, 5, Read, true, 77, 0.011180892
4, 5, Read, true, 79, 0.011244377
2, 5, Read, true, 79, 0.013726536
1, 5, Read, true, 79, 0.012858758
3, 5, Read, true, 78, 0.012819647
4, 5, Read, true, 80, 0.013490123
2, 5, Read, true, 80, 0.01167851
1, 5, Read, true, 80, 0.011560548
3, 5, Read, true, 79, 0.011515151
4, 5, Read, true, 81, 0.010839786
2, 5, Read, true, 81, 0.013561291
0, 5, sync_write_read, true, 26, 0.03844616
1, 5, Read, true, 81, 0.013566669
3, 5, Read, true, 80, 0.013695387
4, 5, Read, true, 82, 0.013449755
2, 5, Read, true, 82, 0.010730066
1, 5, Read, true, 82, 0.011451735
3, 5, Read, true, 81, 0.011526116
4, 5, Read, true, 83, 0.014755507
2, 5, Read, true, 83, 0.014443108
1, 5, Read, true, 83, 0.013818098
3, 5, Read, true, 82, 0.013638186
4, 5, Read, true, 84, 0.011277482
2, 5, Read, true, 84, 0.010834199
0, 5, sync_write_read, true, 27, 0.036172826
1, 5, Read, true, 84, 0.010836015
3, 5, Read, true, 83, 0.011045399
4, 5, Read, true, 85, 0.013137984
2, 5, Read, true, 85, 0.013475806
1, 5, Read, true, 85, 0.013444936
3, 5, Read, true, 84, 0.0132586
4, 5, Read, true, 86, 0.011077386
2, 5, Read, true, 86, 0.010783704
1, 5, Read, true, 86, 0.011376377
3, 5, Read, true, 85, 0.014067292
4, 5, Read, true, 87, 0.013385571
2, 5, Read, true, 87, 0.013849177
0, 5, sync_write_read, true, 28, 0.037903773
1, 5, Read, true, 87, 0.013011501
3, 5, Read, true, 86, 0.010302847
4, 5, Read, true, 88, 0.011240256
2, 5, Read, true, 88, 0.011000212
1, 5, Read, true, 88, 0.011266027
3, 5, Read, true, 87, 0.014108917
4, 5, Read, true, 89, 0.013357844
2, 5, Read, true, 89, 0.013818936
1, 5, Read, true, 89, 0.013481742
3, 5, Read, true, 88, 0.011298993
4, 5, Read, true, 90, 0.011116358
2, 5, Read, true, 90, 0.010856059
0, 5, sync_write_read, true, 29, 0.035925169
1, 5, Read, true, 90, 0.01112865
3, 5, Read, true, 89, 0.013386619
4, 5, Read, true, 91, 0.014052555
2, 5, Read, true, 91, 0.013710682
1, 5, Read, true, 91, 0.01349606
3, 5, Read, true, 90, 0.011149672
4, 5, Read, true, 92, 0.010445602
2, 5, Read, true, 92, 0.011074104
1, 5, Read, true, 92, 0.013633158
3, 5, Read, true, 91, 0.013061228
4, 5, Read, true, 93, 0.013372301
2, 5, Read, true, 93, 0.012810568
0, 5, sync_write_read, true, 30, 0.037560573
1, 5, Read, true, 93, 0.009823176
3, 5, Read, true, 92, 0.010868351
4, 5, Read, true, 94, 0.010595621
2, 5, Read, true, 94, 0.011147087
1, 5, Read, true, 94, 0.013977546
3, 5, Read, true, 93, 0.013263698
