test,maximum,minimum,med,expected,variance,deviation
Read,13.464073,1.838153,2.293308,2.64027285154062,0.739835747373336,0.860137051505942
Write,13.00347,2.639652,3.328147,3.641129504,0.915271498572921,0.956698227537253
Sync,57.7065,11.549025,23.7888145,23.9696998138,0.955167811303075,0.977326870245096
