test,maximum,minimum,med,expected,variance,deviation
Read,23.775509,1.766915,2.147759,2.4775204734,0.824384363958941,0.907956146495491
Write,16.046873,1.668998,2.080153,2.3884911986,0.755355877362064,0.869112120132992
Sync,47.614365,6.968414,24.0299065,23.9209852372,1.29803195342835,1.13931205270038
