test,maximum,minimum,med,expected,variance,deviation
Read,36.521893,2.359867,12.771386,12.3792805029001,1.74085085777083,1.31941307321507
Write,30.482158,3.444363,16.5503585,16.0810163269501,1.76769567548448,1.32954716933416
Sync,60.274844,11.855558,25.028951,32.5767056858,117.244808920919,10.8279642094403
