test,maximum,minimum,med,expected,variance,deviation
Read,74.492853,2.445632,11.624767,11.7831769308001,2.02763550609301,1.42395066841973
Write,72.862897,2.137283,10.972834,11.40983969845,2.37205661559123,1.54014824468011
Sync,97.547321,11.399494,23.422741,24.1141061330001,9.74937422600202,3.12239879355633
