test,maximum,minimum,med,expected,variance,deviation
Read,23.596366,1.709715,2.1357465,2.47534576270508,0.783262706151756,0.885021302654211
Write,10.553297,1.638476,2.0606675,2.3831594468,0.67712537970375,0.822876284567583
Sync,36.501779,12.790802,24.0712525,23.9653755642,0.635187525932098,0.796986528074407
