Language,Type,Threads,Maximum,Minimum,Median,Mean,Deviation
Java,INT,1,23.596366,1.709715,2.1357465,2.47534576270508,0.885021302654211
C++,INT,1,23.775509,1.766915,2.147759,2.4775204734,0.907956146495491
Java,E6AXIS,1,13.464073,1.838153,2.293308,2.64027285154062,0.860137051505942
C++,E6AXIS,1,9.370186,1.860083,2.2919465,2.64191340019999,0.858050718342961
Java,INT,5,30.033359,6.04169,11.363212,11.7337552332733,1.30147873563911
C++,INT,5,74.492853,2.445632,11.624767,11.7831769308001,1.42395066841973
Java,E6AXIS,5,36.024065,1.810635,12.159018,11.8248169078908,2.61230362402312
C++,E6AXIS,5,36.521893,2.359867,12.771386,12.3792805029001,1.31941307321507
