test,maximum,minimum,med,expected,variance,deviation
Read,36.024065,1.810635,12.159018,11.8248169078908,6.82413022408432,2.61230362402312
Write,29.741142,10.299913,16.150622,15.3842712895,3.54992349934568,1.88412406686653
Sync,59.28617,11.372815,37.0779345,35.8004187676,91.1327963025776,9.54634989420447
