Language,Type,Threads,Maximum,Minimum,Median,Mean,Deviation
Java,INT,1,10.553297,1.638476,2.0606675,2.3831594468,0.822876284567583
C++,INT,1,16.046873,1.668998,2.080153,2.3884911986,0.869112120132992
Java,E6AXIS,1,13.00347,2.639652,3.328147,3.641129504,0.956698227537253
C++,E6AXIS,1,14.43752,2.601867,3.281143,3.59709292539999,0.959308851665843
Java,INT,5,24.137986,8.449329,10.824002,11.34579560785,1.2787726380538
C++,INT,5,72.862897,2.137283,10.972834,11.40983969845,1.54014824468011
Java,E6AXIS,5,29.741142,10.299913,16.150622,15.3842712895,1.88412406686653
C++,E6AXIS,5,30.482158,3.444363,16.5503585,16.0810163269501,1.32954716933416
