Language,Type,Threads,Maximum,Minimum,Median,Mean,Deviation
Java,INT,1,36.501779,12.790802,24.0712525,23.9653755642,0.796986528074407
C++,INT,1,47.614365,6.968414,24.0299065,23.9209852372,1.13931205270038
Java,E6AXIS,1,57.7065,11.549025,23.7888145,23.9696998138,0.977326870245096
C++,E6AXIS,1,59.028456,6.889842,23.691875,23.9082817342001,1.35071500144487
Java,INT,5,51.988455,12.831171,33.566,31.3499009176,5.81067782573881
C++,INT,5,97.547321,11.399494,23.422741,24.1141061330001,3.12239879355633
Java,E6AXIS,5,59.28617,11.372815,37.0779345,35.8004187676,9.54634989420447
C++,E6AXIS,5,60.274844,11.855558,25.028951,32.5767056858,10.8279642094403
