Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, 1, 150, 0.002414343
4, 5, Read, 1, 151, 0.002051099
4, 5, Read, 1, 152, 0.002143638
4, 5, Read, 1, 153, 0.001971899
4, 5, Read, 1, 154, 0.002928445
4, 5, Read, 1, 155, 0.002318382
4, 5, Read, 1, 156, 0.002099359
4, 5, Read, 1, 157, 0.002593067
4, 5, Read, 1, 158, 0.004767156
4, 5, Read, 1, 159, 0.002325784
4, 5, Read, 1, 160, 0.002507791
4, 5, Read, 1, 161, 0.002161798
4, 5, Read, 1, 162, 0.001841016
4, 5, Read, 1, 163, 0.002802312
4, 5, Read, 1, 164, 0.002438229
4, 5, Read, 1, 165, 0.001986077
4, 5, Read, 1, 166, 0.002160401
4, 5, Read, 1, 167, 0.005014674
4, 5, Read, 1, 168, 0.002390457
4, 5, Read, 1, 169, 0.002089791
4, 5, Read, 1, 170, 0.002195461
4, 5, Read, 1, 171, 0.002042997
4, 5, Read, 1, 172, 0.002938572
4, 5, Read, 1, 173, 0.002413365
4, 5, Read, 1, 174, 0.002075823
4, 5, Read, 1, 175, 0.002175486
4, 5, Read, 1, 176, 0.004968719
4, 5, Read, 1, 177, 0.002332909
4, 5, Read, 1, 178, 0.002097474
4, 5, Read, 1, 179, 0.002308184
4, 5, Read, 1, 180, 0.002010451
4, 5, Read, 1, 181, 0.002977404
4, 5, Read, 1, 182, 0.002361683
4, 5, Read, 1, 183, 0.002185473
4, 5, Read, 1, 184, 0.00223108
4, 5, Read, 1, 185, 0.005010204
4, 5, Read, 1, 186, 0.002537473
4, 5, Read, 1, 187, 0.002084902
4, 5, Read, 1, 188, 0.002284718
4, 5, Read, 1, 189, 0.001863994
4, 5, Read, 1, 190, 0.00268875
4, 5, Read, 1, 191, 0.002484115
4, 5, Read, 1, 192, 0.001904572
4, 5, Read, 1, 193, 0.001908693
4, 5, Read, 1, 194, 0.004697665
4, 5, Read, 1, 195, 0.002489492
4, 5, Read, 1, 196, 0.002079105
4, 5, Read, 1, 197, 0.002248051
4, 5, Read, 1, 198, 0.003163671
4, 5, Read, 1, 199, 0.002099429
4, 5, Read, 1, 200, 0.00278562
4, 5, Read, 1, 201, 0.002292052
4, 5, Read, 1, 202, 0.004786782
4, 5, Read, 1, 203, 0.002089791
4, 5, Read, 1, 204, 0.002682953
4, 5, Read, 1, 205, 0.002255664
4, 5, Read, 1, 206, 0.002114934
4, 5, Read, 1, 207, 0.003003455
4, 5, Read, 1, 208, 0.002515892
4, 5, Read, 1, 209, 0.002186102
4, 5, Read, 1, 210, 0.002262998
4, 5, Read, 1, 211, 0.00502983
4, 5, Read, 1, 212, 0.002493264
4, 5, Read, 1, 213, 0.002165987
4, 5, Read, 1, 214, 0.002256572
4, 5, Read, 1, 215, 0.001925874
4, 5, Read, 1, 216, 0.00283828
4, 5, Read, 1, 217, 0.002568832
4, 5, Read, 1, 218, 0.002096356
4, 5, Read, 1, 219, 0.002193435
4, 5, Read, 1, 220, 0.004853969
4, 5, Read, 1, 221, 0.002510305
4, 5, Read, 1, 222, 0.002095169
4, 5, Read, 1, 223, 0.002277873
4, 5, Read, 1, 224, 0.002827455
4, 5, Read, 1, 225, 0.002064438
4, 5, Read, 1, 226, 0.002592718
4, 5, Read, 1, 227, 0.001936908
4, 5, Read, 1, 228, 0.004804173
4, 5, Read, 1, 229, 0.002044814
4, 5, Read, 1, 230, 0.002584267
4, 5, Read, 1, 231, 0.002004445
4, 5, Read, 1, 232, 0.002247423
4, 5, Read, 1, 233, 0.002809366
4, 5, Read, 1, 234, 0.002473918
4, 5, Read, 1, 235, 0.002850013
4, 5, Read, 1, 236, 0.002220953
4, 5, Read, 1, 237, 0.004538775
4, 5, Read, 1, 238, 0.002082038
4, 5, Read, 1, 239, 0.002778845
4, 5, Read, 1, 240, 0.0022396
4, 5, Read, 1, 241, 0.002120521
4, 5, Read, 1, 242, 0.00303181
4, 5, Read, 1, 243, 0.002360356
4, 5, Read, 1, 244, 0.00230169
4, 5, Read, 1, 245, 0.002399048
4, 5, Read, 1, 246, 0.005036814
4, 5, Read, 1, 247, 0.002570997
4, 5, Read, 1, 248, 0.002145105
4, 5, Read, 1, 249, 0.002505067
4, 5, Read, 1, 250, 0.002868521
4, 5, Read, 1, 251, 0.002108718
4, 5, Read, 1, 252, 0.003052832
4, 5, Read, 1, 253, 0.002348763
4, 5, Read, 1, 254, 0.00499889
4, 5, Read, 1, 255, 0.002480483
4, 5, Read, 1, 256, 0.002109975
4, 5, Read, 1, 257, 0.002253638
4, 5, Read, 1, 258, 0.001908762
4, 5, Read, 1, 259, 0.002777658
4, 5, Read, 1, 260, 0.002523366
4, 5, Read, 1, 261, 0.00211214
4, 5, Read, 1, 262, 0.002223537
4, 5, Read, 1, 263, 0.004771417
4, 5, Read, 1, 264, 0.002447169
4, 5, Read, 1, 265, 0.002091397
4, 5, Read, 1, 266, 0.002322572
4, 5, Read, 1, 267, 0.001862388
4, 5, Read, 1, 268, 0.002761943
4, 5, Read, 1, 269, 0.002474337
4, 5, Read, 1, 270, 0.002464908
4, 5, Read, 1, 271, 0.002059201
4, 5, Read, 1, 272, 0.005098763
4, 5, Read, 1, 273, 0.002546483
4, 5, Read, 1, 274, 0.001965543
4, 5, Read, 1, 275, 0.002105156
4, 5, Read, 1, 276, 0.001863854
4, 5, Read, 1, 277, 0.002882769
4, 5, Read, 1, 278, 0.002677436
4, 5, Read, 1, 279, 0.002061715
4, 5, Read, 1, 280, 0.002075892
4, 5, Read, 1, 281, 0.00470814
4, 5, Read, 1, 282, 0.002438089
4, 5, Read, 1, 283, 0.0021252
4, 5, Read, 1, 284, 0.00222207
4, 5, Read, 1, 285, 0.001927829
4, 5, Read, 1, 286, 0.002840095
4, 5, Read, 1, 287, 0.002471404
4, 5, Read, 1, 288, 0.002079524
4, 5, Read, 1, 289, 0.00231475
4, 5, Read, 1, 290, 0.004814718
4, 5, Read, 1, 291, 0.002504579
4, 5, Read, 1, 292, 0.002062692
4, 5, Read, 1, 293, 0.002215436
4, 5, Read, 1, 294, 0.00198461
4, 5, Read, 1, 295, 0.002844845
4, 5, Read, 1, 296, 0.002592928
4, 5, Read, 1, 297, 0.002054731
4, 5, Read, 1, 298, 0.002234083
4, 5, Read, 1, 299, 0.004753608
4, 5, Read, 1, 300, 0.002416578
4, 5, Read, 1, 301, 0.002137563
4, 5, Read, 1, 302, 0.002196159
4, 5, Read, 1, 303, 0.002022045
4, 5, Read, 1, 304, 0.003226109
4, 5, Read, 1, 305, 0.002546413
4, 5, Read, 1, 306, 0.002017506
4, 5, Read, 1, 307, 0.002097823
4, 5, Read, 1, 308, 0.005043309
4, 5, Read, 1, 309, 0.002457226
4, 5, Read, 1, 310, 0.002054521
4, 5, Read, 1, 311, 0.002169968
4, 5, Read, 1, 312, 0.001861898
4, 5, Read, 1, 313, 0.002663746
4, 5, Read, 1, 314, 0.002399886
4, 5, Read, 1, 315, 0.002128692
4, 5, Read, 1, 316, 0.002228496
4, 5, Read, 1, 317, 0.005122439
4, 5, Read, 1, 318, 0.002536565
4, 5, Read, 1, 319, 0.002101385
4, 5, Read, 1, 320, 0.002320476
4, 5, Read, 1, 321, 0.002777238
4, 5, Read, 1, 322, 0.002284927
4, 5, Read, 1, 323, 0.002861746
4, 5, Read, 1, 324, 0.002254895
4, 5, Read, 1, 325, 0.004884071
4, 5, Read, 1, 326, 0.002241556
4, 5, Read, 1, 327, 0.002556121
4, 5, Read, 1, 328, 0.002202933
4, 5, Read, 1, 329, 0.002054242
4, 5, Read, 1, 330, 0.002815511
4, 5, Read, 1, 331, 0.00190087
4, 5, Read, 1, 332, 0.002578889
4, 5, Read, 1, 333, 0.002352045
4, 5, Read, 1, 334, 0.00449289
4, 5, Read, 1, 335, 0.002154883
4, 5, Read, 1, 336, 0.002657321
4, 5, Read, 1, 337, 0.002253708
4, 5, Read, 1, 338, 0.002067162
4, 5, Read, 1, 339, 0.002783664
4, 5, Read, 1, 340, 0.001898286
4, 5, Read, 1, 341, 0.002572674
4, 5, Read, 1, 342, 0.002286603
4, 5, Read, 1, 343, 0.004533328
4, 5, Read, 1, 344, 0.002438438
4, 5, Read, 1, 345, 0.002505836
4, 5, Read, 1, 346, 0.002206635
4, 5, Read, 1, 347, 0.00203301
4, 5, Read, 1, 348, 0.002837372
4, 5, Read, 1, 349, 0.001873701
4, 5, Read, 1, 350, 0.002574838
4, 5, Read, 1, 351, 0.002213689
4, 5, Read, 1, 352, 0.004644585
4, 5, Read, 1, 353, 0.002065556
4, 5, Read, 1, 354, 0.002722413
4, 5, Read, 1, 355, 0.002302318
4, 5, Read, 1, 356, 0.002022883
4, 5, Read, 1, 357, 0.002735194
4, 5, Read, 1, 358, 0.001965054
4, 5, Read, 1, 359, 0.002652851
4, 5, Read, 1, 360, 0.002249727
4, 5, Read, 1, 361, 0.0046559
4, 5, Read, 1, 362, 0.0021516
4, 5, Read, 1, 363, 0.002788972
4, 5, Read, 1, 364, 0.002377467
4, 5, Read, 1, 365, 0.001993969
4, 5, Read, 1, 366, 0.002695873
4, 5, Read, 1, 367, 0.001949969
4, 5, Read, 1, 368, 0.002367619
4, 5, Read, 1, 369, 0.002215436
4, 5, Read, 1, 370, 0.004606661
4, 5, Read, 1, 371, 0.002035594
4, 5, Read, 1, 372, 0.002775004
4, 5, Read, 1, 373, 0.002216343
4, 5, Read, 1, 374, 0.002119124
4, 5, Read, 1, 375, 0.002718293
4, 5, Read, 1, 376, 0.002033289
4, 5, Read, 1, 377, 0.002611854
4, 5, Read, 1, 378, 0.002209708
4, 5, Read, 1, 379, 0.004683906
4, 5, Read, 1, 380, 0.002037619
4, 5, Read, 1, 381, 0.002725905
4, 5, Read, 1, 382, 0.002502414
4, 5, Read, 1, 383, 0.002082806
4, 5, Read, 1, 384, 0.003037118
4, 5, Read, 1, 385, 0.002258317
4, 5, Read, 1, 386, 0.002229125
4, 5, Read, 1, 387, 0.002203353
4, 5, Read, 1, 388, 0.004697735
4, 5, Read, 1, 389, 0.001872166
4, 5, Read, 1, 390, 0.002631969
4, 5, Read, 1, 391, 0.002245048
4, 5, Read, 1, 392, 0.002047676
4, 5, Read, 1, 393, 0.002805734
4, 5, Read, 1, 394, 0.001904921
4, 5, Read, 1, 395, 0.002651175
4, 5, Read, 1, 396, 0.002219905
4, 5, Read, 1, 397, 0.004613436
4, 5, Read, 1, 398, 0.002077149
4, 5, Read, 1, 399, 0.002762083
4, 5, Read, 1, 400, 0.002405334
