Test,Time
0,0.317417409
1,0.248849297
2,0.378830262
3,0.338847871
4,0.288869796
5,0.328867682
6,0.288858560
7,0.258810372
8,0.398918712
9,0.288835019
10,0.398888964
11,0.248863306
12,0.238869065
13,0.247829375
14,0.368812395
15,0.248861679
16,0.387876413
17,0.258899507
18,0.308847949
19,0.377831216
20,0.258838318
21,0.397822800
22,0.058806125
23,0.397881550
24,0.308918959
25,0.348856143
26,0.258886459
27,0.398844642
28,0.328902613
29,0.337867516
30,0.387900080
31,0.267843926
32,0.267850043
33,0.317863755
34,0.287832276
35,0.377873364
36,0.308833535
37,0.228824158
38,0.338850896
39,0.388825543
40,0.358832059
41,0.347803672
42,0.397770783
43,0.297848000
44,0.397866799
45,0.358853584
46,0.317824252
47,0.317867381
48,0.338800826
49,0.397844798
50,0.258855263
51,0.258844057
52,0.327803231
53,0.437859055
54,0.038828731
55,0.237835396
56,0.368839855
57,0.287914812
58,0.398848135
59,0.187922038
60,0.257892895
61,0.257845300
62,0.367855121
63,0.337926001
64,0.367890603
65,0.368819047
66,0.237833153
67,0.328800772
68,0.357896467
69,0.357804639
70,0.267824410
71,0.407832169
72,0.338861916
73,0.348907659
74,0.308892504
75,0.248874539
76,0.357835553
77,0.258847500
78,0.348890305
79,0.278911267
80,0.358776582
81,0.338810362
82,0.308844765
83,0.268866913
84,0.397862296
85,0.328842566
86,0.397897024
87,0.377818138
88,0.358831810
89,0.388851654
90,0.298867644
91,0.407905495
92,0.328910342
93,0.248838758
94,0.367883478
95,0.388849887
96,0.358936143
97,0.248920619
98,0.357886335
99,0.267798813
