Test,Time
0,0.500581075
1,0.500587363
2,0.500781966
3,0.500964552
4,0.500825995
5,0.500891737
6,0.500887657
7,0.501013179
8,0.500735725
9,0.500836625
10,0.500823278
11,0.500837125
12,0.50087466
13,0.500845893
14,0.500847097
15,0.500853867
16,0.500870547
17,0.500846379
18,0.500808105
19,0.500818464
20,0.500919315
21,0.500815929
22,0.50092863
23,0.500886037
24,0.500862079
25,0.500880573
26,0.500880507
27,0.500874526
28,0.500867953
29,0.500846969
30,0.500809941
31,0.500859361
32,0.500814234
33,0.500870191
34,0.500833089
35,0.500861945
36,0.50085286
37,0.500852517
38,0.500870219
39,0.506664632
40,0.501019702
41,0.500815971
42,0.500880805
43,0.500844702
44,0.5008653
45,0.500846128
46,0.500890442
47,0.500837387
48,0.500845928
49,0.500902934
50,0.500874482
51,0.500855964
52,0.500902721
53,0.500842935
54,0.500954068
55,0.500770775
56,0.500863886
57,0.500882491
58,0.500843307
59,0.50082523
60,0.500845135
61,0.500881494
62,0.500775679
63,0.500857977
64,0.5008543
65,0.500889091
66,0.500882928
67,0.500864882
68,0.500882966
69,0.500866135
70,0.500880141
71,0.500876491
72,0.500829877
73,0.500938765
74,0.500878292
75,0.500804474
76,0.500874623
77,0.500887661
78,0.500858919
79,0.500876851
80,0.500877963
81,0.500897352
82,0.500882404
83,0.500833293
84,0.500890989
85,0.500859509
86,0.500841102
87,0.500882839
88,0.500911914
89,0.500861587
90,0.50089261
91,0.500859943
92,0.500874757
93,0.500844491
94,0.50087896
95,0.500879555
96,0.500888141
97,0.500785964
98,0.500909106
99,0.500878726
100,0.500875271
101,0.500808595
102,0.500857162
103,0.500890804
104,0.500882073
105,0.500823795
106,0.500875912
107,0.500904545
108,0.50084223
109,0.500814654
110,0.500939728
111,0.500865642
112,0.500895734
113,0.500820085
114,0.500888282
115,0.50089929
116,0.500927117
117,0.50079423
118,0.500902567
119,0.500856648
120,0.500882225
121,0.500824627
122,0.500875655
123,0.500892909
124,0.500831509
125,0.500860424
126,0.500758073
127,0.500808376
128,0.500465265
129,0.500875073
130,0.500877374
131,0.500898613
132,0.50087231
133,0.500895159
134,0.500899109
135,0.500846596
136,0.500842891
137,0.500889769
138,0.500904627
139,0.500887097
140,0.500870087
141,0.500883881
142,0.5008893
143,0.500881142
144,0.500902408
145,0.500919893
146,0.500818101
147,0.500904378
148,0.500895865
149,0.500882718
150,0.500897282
151,0.500860742
152,0.500932139
153,0.500916041
154,0.500873054
155,0.500868252
156,0.500918843
157,0.500843258
158,0.500879679
159,0.500893643
160,0.500898786
161,0.500878092
162,0.500903649
163,0.500881863
164,0.500895269
165,0.500894049
166,0.500869646
167,0.500906961
168,0.501070246
169,0.500710325
170,0.500869369
171,0.500866356
172,0.500927923
173,0.500882363
174,0.500905006
175,0.500888313
176,0.500915009
177,0.500899471
178,0.500875671
179,0.500893244
180,0.500906132
181,0.500882447
182,0.500899921
183,0.50088293
184,0.50089256
185,0.500860405
186,0.500866558
187,0.500878937
188,0.500898075
189,0.500813759
190,0.500844975
191,0.500853107
192,0.50084996
193,0.500896958
194,0.500921582
195,0.500884262
196,0.500941698
197,0.500867974
198,0.500909747
199,0.500911494
200,0.500847249
201,0.50091383
202,0.500922022
203,0.500892781
204,0.500914244
205,0.500888734
206,0.500919663
207,0.500908744
208,0.500906983
209,0.500911025
210,0.500923921
211,0.500876452
212,0.500925783
213,0.500891048
214,0.500872405
215,0.500897036
216,0.500915682
217,0.500888836
218,0.500922033
219,0.500893489
220,0.500897248
221,0.50092684
222,0.500855074
223,0.500956125
224,0.50090662
225,0.500910739
226,0.500706601
227,0.500913715
228,0.500911996
229,0.500923826
230,0.500865885
231,0.50089605
232,0.500949912
233,0.500868549
234,0.500900467
235,0.500926759
236,0.50089425
237,0.50081977
238,0.500889141
239,0.50091035
240,0.500911127
241,0.50088198
242,0.500921602
243,0.50091073
244,0.50087273
245,0.500925744
246,0.500876003
247,0.500915311
248,0.500901308
249,0.50089397
250,0.500842038
251,0.500930732
252,0.500875471
253,0.500927504
254,0.500233816
255,0.500715195
256,0.500797322
257,0.500937009
258,0.500906345
259,0.50091394
260,0.500852663
261,0.500860943
262,0.500971333
263,0.500853069
264,0.500919103
265,0.500948909
266,0.500900324
267,0.500928691
268,0.500901312
269,0.500918467
270,0.500944522
271,0.500944709
272,0.500895899
273,0.500917195
274,0.500950048
275,0.500952031
276,0.500929594
277,0.500900415
